10.1598,18.0410,10.1424
7.4560,17.2432,12.3107
10.3186,16.3842,5.1580
13.6646,15.6674,14.5330
3.7781,14.8990,8.8459
15.9212,13.9789,6.1364
8.0422,13.1323,17.1307
6.4664,12.3541,3.2732
17.3757,11.5791,12.6611
2.6944,10.8544,12.9966
13.3471,9.7350,2.8007
12.2448,9.3587,17.6651
3.2959,8.3866,6.1632
17.5515,7.6627,8.3183
5.7002,6.7151,15.9854
8.9527,5.8780,3.0990
14.8781,5.2572,14.0223
4.3137,4.3477,10.3208
13.4212,3.5538,6.6559
10.0828,2.7929,13.5162
10.0032,1.9250,9.9429
9.9966,10.1716,11.7647
9.2167,10.7123,13.9237
10.2339,7.9370,14.3545
11.7049,11.7974,14.0927
6.7940,9.3541,13.9795
13.1570,8.0209,13.5036
8.9130,14.1283,13.2109
7.9201,5.7390,12.6959
14.4945,11.6661,12.2561
5.3972,12.0063,11.8771
12.2377,5.1740,11.2312
11.7041,14.9889,10.4993
5.3727,7.1168,9.9915
14.9397,8.8235,9.2488
7.2135,13.8742,8.3901
9.4103,5.5903,7.7507
12.9272,12.5033,6.8565
7.0952,10.1719,6.1611
10.0260,10.1144,5.3210
